time,user,is_bot,title,length_diff,editor_type,category
2026-01-28 20:28:50,RVA2869,false,Q3742555,-397,HUMAN,ARTYKUŁ
2026-01-28 20:28:50,Deltaspace42,false,Category:Cemetary in Podwilczyn,36,HUMAN,KATEGORIA
2026-01-28 20:28:51,EmausBot,true,Санта Амалия (Ла Конкордия),-62,BOT,ARTYKUŁ
2026-01-28 20:28:51,Fodbold-fan,false,Brønshøj Boldklub,118,HUMAN,ARTYKUŁ
2026-01-28 20:28:51,MediaKyle,false,Q132168254,96,HUMAN,ARTYKUŁ
2026-01-28 20:28:52,Trzęsacz,false,Q137920191,1146,HUMAN,ARTYKUŁ
2026-01-28 20:28:53,Emijrpbot,true,File:Otakuthon 2014- Yui Hirasawa times two (15016871566).jpg,1982,BOT,ARTYKUŁ
2026-01-28 20:28:54,SchlurcherBot,true,File:Crusinallo Chiesa di San Gaudenzio.jpg,2053,BOT,ARTYKUŁ
2026-01-28 20:28:54,Deltaspace42,false,"Category:Greenlawn Cemetary, Lowell, Ohio",46,HUMAN,KATEGORIA
2026-01-28 20:28:54,Linguoboy,false,Volkj,71,HUMAN,ARTYKUŁ
2026-01-28 20:28:55,ربى صلاح الدين,false,مستخدم:ربى صلاح الدين/ملعب,-47,HUMAN,ARTYKUŁ
2026-01-28 20:28:56,SchlurcherBot,true,File:ISS048-E-62996 - View of Earth.jpg,2806,BOT,ARTYKUŁ
2026-01-28 20:28:56,Rkieferbot,true,File:Wild Apples (4223685083).jpg,41,BOT,ARTYKUŁ
2026-01-28 20:28:56,Knallhatten,false,Användare:Knallhatten/sandlåda,100905,HUMAN,ARTYKUŁ
2026-01-28 20:28:57,SchlurcherBot,true,File:Crucero y plazuela frente al convento.jpg,2456,BOT,ARTYKUŁ
2026-01-28 20:28:58,Jarekt,false,Q109523630,438,HUMAN,ARTYKUŁ
2026-01-28 20:28:58,Bennylin,false,Tionghoa-Singapura,341,HUMAN,ARTYKUŁ
2026-01-28 20:28:59,Kspiers,false,Talk:Countess of Surrey,7,HUMAN,DYSKUSJA
2026-01-28 20:28:50,Lowercase sigmabot III,true,User talk:Keivan.f/Archive 1,1819,BOT,ARTYKUŁ
2026-01-28 20:28:50,Alexander-93,false,Diskussion:Volvo EX60,202,HUMAN,ARTYKUŁ
2026-01-28 20:28:51,Spazzolo,false,Utente:Spazzolo/Sandbox5,-1,HUMAN,ARTYKUŁ
2026-01-28 20:28:51,Saldanha-mareo,false,Q116873510,421,HUMAN,ARTYKUŁ
2026-01-28 20:28:52,EmausBot,true,Санта Амалия (Лас Маргаритас),-64,BOT,ARTYKUŁ
2026-01-28 20:28:52,RVA2869,false,Q3742162,-397,HUMAN,ARTYKUŁ
2026-01-28 20:28:53,Deltaspace42,false,Category:Cemetary in Koszelewska Łąka,44,HUMAN,KATEGORIA
2026-01-28 20:28:54,RVA2869,false,Q3840216,-397,HUMAN,ARTYKUŁ
2026-01-28 20:28:54,Pospeak,false,FC Zbrojovka Brno,1,HUMAN,ARTYKUŁ
2026-01-28 20:28:54,Rkieferbot,true,"File:Tjelvarvägen, Visby 01.jpg",501,BOT,ARTYKUŁ
2026-01-28 20:28:55,SchlurcherBot,true,File:Crucero y Capilla mayor - Mezquita de Córdoba.jpg,428,BOT,ARTYKUŁ
2026-01-28 20:28:56,Emijrpbot,true,"File:Lašovice, železniční zastávka (3).jpg",1968,BOT,ARTYKUŁ
2026-01-28 20:28:56,SchlurcherBot,true,"File:ВМА, Боткинская 17 03.jpg",2023,BOT,ARTYKUŁ
2026-01-28 20:28:56,EmausBot,true,Санта Амалия (Силтепек),-53,BOT,ARTYKUŁ
2026-01-28 20:28:57,MidleadingBot,true,Q66238596,719,BOT,ARTYKUŁ
2026-01-28 20:28:58,MidleadingBot,true,Q66238597,719,BOT,ARTYKUŁ
2026-01-28 20:28:58,Lp0 on fire,false,Talk:ESkilled,169,HUMAN,DYSKUSJA
